symbol,Mean_Return,Volatility,Momentum,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,GMM_Cluster,GMM_Max_Prob,PCA1,PCA2
TRXUSDT,0.0020436467046462056,0.04880613993432915,0.0017081918673509673,3,4,0,3,0.9456227500068252,-0.8813448273227771,-0.11334570598246245
TUSDUSDT,0.0007131095016724939,0.04391098977716121,-2.3506475225224408e-05,3,1,0,3,0.9716233919757141,-2.2449692776015624,-1.0158558889954474
UMAUSDT,0.0007929980836416648,0.07049206606181029,-0.06829003592361504,4,1,0,4,1.0,-0.2938179230859223,-1.0860370079138362
USDCUSDT,0.0007131095016724939,0.04391098977716121,4.736260454002533e-05,3,1,0,3,0.9717487539281018,-2.245010990358744,-1.0157592462054894
VETUSDT,0.001815390984753545,0.05928515019162692,6.339255165153301e-05,0,4,0,0,0.9899858235759219,-0.3269341321439576,-0.2834165164345954
VTHOUSDT,0.002890703820696765,0.0819010381877543,3.1812328013208485e-06,2,0,0,0,0.9999998374892628,2.0743033431011932,0.42188254588790464
WANUSDT,0.00109038618184112,0.05734076126022075,-0.00095058201058201,4,1,0,0,0.9758265225611511,-1.0196237835842645,-0.7761432240817067
WINUSDT,0.0009379844777699392,0.06424491486747873,-1.8231888068880698e-06,4,1,0,0,0.9098092307473247,-0.6570937156022059,-0.8867951307580558
XLMUSDT,0.0015714751834602055,0.055080390209900625,0.0011468827477299646,4,4,0,0,0.9771394595319746,-0.8078639018866746,-0.44303816284072983
XRPUSDT,0.0022133283862686335,0.055459660147489445,0.015926503224108435,0,4,0,4,0.9999999999999254,-0.2961733432398784,0.01369730381478476
XTZUSDT,0.0015151823878906988,0.0556698995833351,-0.0004937038789025501,4,4,0,0,0.9754377926269656,-0.8092063918318546,-0.4843026874518966
YFIUSDT,0.0017478248267622676,0.0616019988240105,-0.17284098889229757,0,4,0,4,1.0,-0.11596263661630081,-0.5679519064246152
ZECUSDT,0.0012797036791948407,0.053677615303895046,-0.17284098889229757,4,4,0,4,1.0,-1.0276213174522808,-0.8773042546888368
ZENUSDT,0.002261464314245879,0.06780093147008993,0.0008144420131290821,0,3,0,0,0.9995409348958724,0.6084623079709187,0.011247484467553607
ZILUSDT,0.001704071194500881,0.0637797155669742,-3.634877734877728e-05,0,4,0,0,0.9907832883630966,-0.09982506542159911,-0.36467216217181875
ZRXUSDT,0.0018087810381641602,0.061156131097870485,-7.989233419465932e-05,0,4,0,0,0.9917186615292997,-0.20175616267855903,-0.29032852626248323
